             x               y  bin
    -10.400035      -15.199956  152
    -10.399957      -14.399904  152
    -10.400006      -13.600049  152
     -10.40009      -12.800036  152
     -10.40007      -11.999989  152
    -10.400036      -11.200082  137
    -10.400085      -10.400017  137
    -10.400008      -9.5999672  137
    -10.400076      -8.8000569  137
     -10.40006      -7.9999812  137
    -10.400096      -7.2000176  132
    -10.400074      -6.4000282  132
    -10.400067      -5.6000042  132
    -10.400074      -4.7999958  132
    -10.399995      -4.0000403  133
    -10.400051       -3.200088  133
    -10.399906      -2.3999677  133
    -10.400055      -1.5999763  154
    -10.399996      -0.8000468  154
    -10.400068    9.278395e-05  154
    -10.400068      0.79991504  164
    -10.399933       1.6000502  164
    -10.399911       2.3999442  164
    -10.400038       3.1999145  164
    -10.400005       3.9999598  173
    -10.400078       4.8000231  173
      -10.4001       5.6000232  178
    -10.399941       6.3999521  178
    -10.399971       7.1999932  194
    -10.399923       8.0000346  194
    -10.400029       8.7999894  222
    -10.400086       9.6000044  222
    -10.400046       10.400059  222
    -10.399976       11.200076  289
    -10.399976       12.000053  289
    -10.399945       12.799958  289
    -10.399997       13.600037  320
    -10.400071       14.399935  320
    -10.400043       15.199974  334
    -10.400011       16.000053  332
    -10.399958       16.800033  332
    -10.399975       17.600077  332
    -10.400032       18.399942  332
    -10.399958        19.20007  332
    -10.399972       20.000033  332
    -9.5999288      -20.000044  150
    -9.5999048      -19.199947  150
    -9.5999547      -18.400049  150
    -9.5999585      -17.599921  150
    -9.5999143      -16.799945  150
     -9.599992      -15.999923  150
    -9.6000299      -15.199932  138
    -9.5999024      -14.400011  138
    -9.5999354      -13.599957  138
    -9.5999694        -12.8001  138
    -9.6000522      -11.999902  138
    -9.6000365      -11.200064  137
    -9.6000886      -10.400048  137
    -9.5999545      -9.5999265  137
    -9.6000217      -8.8000032  137
    -9.5999432      -7.9999629  137
    -9.6000058       -7.199936  132
    -9.5999128      -6.3999027  132
    -9.5999445      -5.6000711  132
     -9.599982      -4.7999262  132
    -9.5999976      -3.9999228  133
    -9.5999407      -3.1999267  133
     -9.599906      -2.3999319  133
    -9.5999326      -1.6000288  133
    -9.5999698     -0.79991504  135
    -9.6000073   8.5081505e-05  135
    -9.5999608      0.79991559  162
    -9.6000283       1.5999081  162
    -9.5999934       2.4000108  162
     -9.599926       3.1999122  173
    -9.6000328       4.0000756  173
    -9.5999198       4.7999302  173
    -9.6000714       5.5999614  173
    -9.6000908       6.4000788  194
    -9.6000949        7.200062  194
    -9.5999873       7.9999792  194
    -9.5999045       8.8000451  241
     -9.599996        9.599997  241
    -9.5999551       10.400068  241
     -9.599945       11.199925  284
    -9.5999668        12.00007  284
     -9.599915        12.79996  320
     -9.599959        13.59996  320
    -9.6000312       14.400062  320
    -9.6000764       15.200027  332
    -9.6000277       16.000047  332
    -9.6000068       16.800085  332
    -9.6000697       17.599967  332
     -9.599937        18.40002  332
    -9.6000329       19.200094  351
    -9.5999194       19.999903  351
    -8.8000614      -19.199975  150
    -8.8000965      -18.400088  150
    -8.8000081      -17.600094  150
    -8.8000869      -16.800063  150
    -8.8000621       -16.00001  150
    -8.7999083       -15.20008  150
    -8.8000511      -14.400061  138
    -8.8000902      -13.599945  138
    -8.8000577      -12.800048  138
    -8.8000269      -11.999935  138
