#              x               y      signal       noise
      -13.599916      -20.800018       34.77        5.38
      -13.599920      -19.999931       35.32        4.95
      -13.599918      -19.199995       40.41        6.08
      -13.599925      -18.399938       45.13        5.97
      -13.599939      -17.599994       47.92        7.00
      -13.600061      -16.799958       48.06        6.79
      -13.600033      -16.000058       51.64        7.02
      -13.600079      -15.200055       56.06        8.21
      -13.599959      -14.400013       64.84        8.21
      -13.600081      -13.600053       70.08        9.14
      -13.599909      -12.799945       82.24        9.35
      -13.600021      -11.999958       90.47        9.82
      -13.600089      -11.200040      102.38        9.24
      -13.600003      -10.400070       96.56       10.36
      -13.600009      -9.6000669      105.75       10.24
      -13.600088      -8.8000815      116.14       11.13
      -13.600020      -7.9999277      120.56       10.68
      -13.599989      -7.1999114      121.33       10.70
      -13.600056      -6.4000099      115.66       11.29
      -13.599902      -5.5999701      118.28       11.34
      -13.599910      -4.8000315      111.72       10.35
      -13.600040      -3.9999478      113.59       11.97
      -13.600044      -3.2000793      120.71       10.94
      -13.599918      -2.4000395      129.02       11.70
      -13.599990      -1.5999526      130.38       12.07
      -13.599965     -0.79994180      150.94       12.95
      -13.599907  7.7613593e-005      154.22       12.63
      -13.599978      0.79994099      156.94       12.67
      -13.599929       1.5999292      154.23       13.13
      -13.600069       2.4000659      153.00       12.74
      -13.599988       3.1999468      153.65       12.61
      -13.599976       3.9999121      169.90       12.77
      -13.599952       4.8000123      169.54       12.89
      -13.600099       5.6000118      167.11       12.88
      -13.600047       6.3999070      164.71       12.27
      -13.600026       7.2000655      166.21       13.15
      -13.599932       8.0000399      172.85       13.20
      -13.600037       8.8000601      184.48       12.95
      -13.599949       9.6000709      219.09       15.00
      -13.600046       10.400100      240.35       16.10
      -13.600050       11.199967      281.91       16.43
      -13.600046       12.000095      262.35       16.11
      -13.599918       12.799910      231.18       15.92
      -13.600067       13.600078      197.79       13.54
      -13.599905       14.400009      150.33       12.80
      -13.600048       15.200019      144.78       12.61
      -13.600099       15.999987      129.70       11.78
      -13.600069       16.800054      127.51       12.09
      -13.600095       17.599978      108.96       10.44
      -13.600081       18.400017       95.13        9.86
      -13.600087       19.200015       66.97        7.62
      -13.599922       19.999946       46.24        6.29
      -12.799916      -20.800086       33.69        5.87
      -12.799980      -19.999944       35.04        6.12
      -12.799984      -19.199995       43.47        7.06
      -12.800018      -18.399948       43.77        7.04
      -12.800044      -17.600055       46.81        6.62
      -12.800006      -16.799910       55.76        7.38
      -12.800006      -15.999941       54.45        7.10
      -12.799968      -15.200023       60.88        7.55
      -12.800061      -14.400007       67.11        7.83
      -12.799933      -13.599975       81.32        9.14
      -12.799911      -12.800002       89.85        9.21
      -12.799962      -11.999909       96.03        9.71
      -12.800048      -11.199973      101.33       10.18
      -12.800074      -10.400067      115.85       11.51
